Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2021-01-01 00:00:00,100,16.0,1.0,-9999.0,1.0,-9999.0,1.0,4.6328,1.0,8.2511,1.0,12.8839,1.0,11.6,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 01:00:00,100,22.0,1.0,-9999.0,1.0,-9999.0,1.0,3.2603,1.0,6.9374,1.0,10.1977,1.0,12.4,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 02:00:00,100,20.0,1.0,-9999.0,1.0,-9999.0,1.0,3.2964,1.0,8.9813,1.0,12.2777,1.0,10.3,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 03:00:00,100,21.0,1.0,-9999.0,1.0,-9999.0,1.0,4.0063,1.0,12.2499,1.0,16.2562,1.0,7.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 04:00:00,100,29.0,1.0,-9999.0,1.0,-9999.0,1.0,8.4978,1.0,17.8744,1.0,26.3722,1.0,3.1,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 05:00:00,100,20.0,1.0,-9999.0,1.0,-9999.0,1.0,10.4578,1.0,15.8577,1.0,26.3155,1.0,3.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 06:00:00,100,16.0,1.0,-9999.0,1.0,-9999.0,1.0,10.8955,1.0,15.4595,1.0,26.355,1.0,2.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 07:00:00,100,18.0,1.0,-9999.0,1.0,-9999.0,1.0,23.6167,1.0,17.4508,1.0,41.0675,1.0,2.6,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 08:00:00,100,19.0,1.0,-9999.0,1.0,-9999.0,1.0,14.8495,1.0,15.6205,1.0,30.4699,1.0,6.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 09:00:00,100,15.0,1.0,-9999.0,1.0,-9999.0,1.0,8.956,1.0,11.1053,1.0,20.0613,1.0,10.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 10:00:00,100,16.0,1.0,-9999.0,1.0,-9999.0,1.0,8.2024,1.0,12.7459,1.0,20.9484,1.0,12.3,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 11:00:00,100,22.0,1.0,-9999.0,1.0,-9999.0,1.0,6.4096,1.0,14.4806,1.0,20.8902,1.0,19.9,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 12:00:00,100,9.0,1.0,-9999.0,1.0,-9999.0,1.0,4.5658,1.0,7.7566,1.0,12.3223,1.0,26.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 13:00:00,100,10.0,1.0,-9999.0,1.0,-9999.0,1.0,2.8697,1.0,0.0372,1.0,2.907,1.0,29.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 14:00:00,100,12.0,1.0,-9999.0,1.0,-9999.0,1.0,1.8195,2.6,-3.2218,3.0,-1.4023,3.0,41.6,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 15:00:00,100,18.0,1.0,-9999.0,1.0,-9999.0,1.0,1.8298,2.6,-0.2733,3.0,1.5565,2.6,51.8,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 16:00:00,100,13.0,1.0,-9999.0,1.0,-9999.0,1.0,3.3528,1.0,3.2687,1.0,6.6215,1.0,28.3,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 17:00:00,100,9.0,1.0,-9999.0,1.0,-9999.0,1.0,4.0291,1.0,1.1195,1.0,5.1486,1.0,21.4,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
2021-01-01 18:00:00,100,8.0,1.0,-9999.0,1.0,-9999.0,1.0,6.1017,1.0,8.0529,1.0,14.1546,1.0,14.4,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31
