Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2019-10-01 00:00:00,25,9.0,1.0,-9999.0,1.0,-9999.0,1.0,21.342,1.0,11.9097,1.0,33.2516,1.0,3.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,278.1,1.0,89.43,1.0,641.8,1.0,3.9,1.0,0.0,1.0,16.5,1.0,0.11,1.0
2019-10-01 01:00:00,25,6.0,2.1,-9999.0,1.0,-9999.0,1.0,14.2203,3.1,13.4082,3.1,27.6285,3.1,3.4,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,256.6,1.0,89.56,1.0,641.1,1.0,0.7,1.0,0.0,1.0,16.4,1.0,0.25,1.0
2019-10-01 02:00:00,25,9.0,1.0,-9999.0,1.0,-9999.0,1.0,5.5255,3.1,10.579,3.1,16.1045,3.1,4.2,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,263.3,1.0,89.47,1.0,640.6,1.0,0.1,1.0,0.0,1.0,16.3,1.0,0.28,1.0
2019-10-01 03:00:00,25,19.0,1.0,-9999.0,1.0,-9999.0,1.0,11.5949,3.1,9.9798,3.1,21.5747,3.1,3.8,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,254.4,1.0,89.64,1.0,640.4,1.0,0.0,1.0,0.0,1.0,16.4,1.0,0.47,1.0
2019-10-01 04:00:00,25,10.0,1.0,-9999.0,1.0,-9999.0,1.0,14.047,3.1,8.1163,3.1,22.1633,3.1,3.5,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,258.4,1.0,89.64,1.0,640.4,3.0,0.0,1.0,0.0,1.0,16.5,1.0,0.36,1.0
2019-10-01 05:00:00,25,10.0,1.0,-9999.0,1.0,-9999.0,1.0,11.309,3.1,6.2786,3.1,17.5876,3.1,4.2,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,255.9,1.0,89.6,1.0,640.4,3.0,0.2,1.0,0.0,1.0,16.3,1.0,0.27,1.0
2019-10-01 06:00:00,25,20.0,1.0,-9999.0,1.0,-9999.0,1.0,46.1874,3.1,6.2212,3.1,52.4087,3.1,4.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,257.5,1.0,89.64,1.0,640.7,1.0,0.0,1.0,0.35,1.0,16.1,1.0,0.34,1.0
2019-10-01 07:00:00,25,21.0,1.0,-9999.0,1.0,-9999.0,1.0,94.1436,3.1,5.9885,3.1,100.132,3.1,4.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,260.8,1.0,89.62,1.0,641.2,1.0,0.0,1.0,31.97,1.0,16.3,1.0,0.24,1.0
2019-10-01 08:00:00,25,26.0,1.0,-9999.0,1.0,-9999.0,1.0,86.5,3.1,12.2873,3.1,98.7874,3.1,3.8,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,272.5,1.0,89.1,1.0,641.5,1.0,0.0,1.0,162.27,1.0,17.5,1.0,0.3,1.0
2019-10-01 09:00:00,25,18.0,1.0,-9999.0,1.0,-9999.0,1.0,49.9074,3.1,25.0282,3.1,74.9355,3.1,6.3,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,252.1,1.0,76.59,1.0,641.7,1.0,0.0,1.0,352.74,1.0,19.9,1.0,0.73,1.0
2019-10-01 10:00:00,25,17.0,1.0,-9999.0,1.0,-9999.0,1.0,22.0659,3.1,25.6679,3.1,47.7338,3.1,19.3,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,254.1,1.0,58.34,1.0,641.5,1.0,0.0,1.0,686.49,1.0,23.2,1.0,0.63,1.0
2019-10-01 11:00:00,25,13.0,1.0,-9999.0,1.0,-9999.0,1.0,10.2129,3.1,15.7617,3.1,25.9746,3.1,33.1,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,233.8,1.0,48.59,1.0,641.0,1.0,0.0,1.0,766.9,1.0,25.9,1.0,0.21,1.0
2019-10-01 12:00:00,25,9.0,1.0,-9999.0,1.0,-9999.0,1.0,2.4,3.1,-1.0534,3.1,1.3466,3.1,34.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,207.4,1.0,45.18,1.0,640.2,1.0,0.0,1.0,826.39,1.0,27.2,1.0,0.51,1.0
2019-10-01 13:00:00,25,4.0,2.1,-9999.0,1.0,-9999.0,1.0,2.467,3.1,-0.6689,3.1,1.7981,3.1,33.2,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,235.4,1.0,43.1,1.0,639.4,1.0,0.0,1.0,934.31,1.0,28.6,1.0,0.69,1.0
2019-10-01 14:00:00,25,5.0,1.0,-9999.0,1.0,-9999.0,1.0,1.5078,3.1,-2.2102,3.1,-0.7024,3.1,37.6,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,245.5,1.0,39.88,1.0,638.5,1.0,0.0,1.0,794.39,1.0,29.1,1.0,0.81,1.0
2019-10-01 15:00:00,25,6.0,1.0,-9999.0,1.0,-9999.0,1.0,1.2572,3.1,-2.3015,3.1,-1.0443,3.1,39.3,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,213.9,1.0,37.62,1.0,637.7,1.0,0.0,1.0,611.66,1.0,29.8,1.0,0.49,1.0
2019-10-01 16:00:00,25,5.0,2.1,-9999.0,1.0,-9999.0,1.0,1.1983,3.1,-2.4379,3.1,-1.2395,3.1,43.9,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,240.2,1.0,36.12,1.0,637.0,1.0,0.0,1.0,471.64,1.0,30.3,1.0,0.8,1.0
2019-10-01 17:00:00,25,8.0,1.0,-9999.0,1.0,-9999.0,1.0,4.1583,3.1,8.0847,3.1,12.2429,3.1,31.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,308.1,1.0,42.46,1.0,637.0,1.0,0.0,1.0,276.65,1.0,29.3,1.0,0.53,1.0
2019-10-01 18:00:00,25,18.0,1.0,-9999.0,1.0,-9999.0,1.0,10.982,3.1,19.1416,3.1,30.1236,3.1,16.8,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.5,1.0,68.94,1.0,637.6,1.0,2.3,1.0,94.51,1.0,24.0,1.0,1.95,1.0
2019-10-01 19:00:00,25,15.0,1.0,-9999.0,1.0,-9999.0,1.0,15.0371,3.1,23.2124,3.1,38.2496,3.1,7.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.2,1.0,72.64,1.0,638.4,1.0,0.0,1.0,0.0,1.0,21.6,1.0,2.11,1.0
2019-10-01 20:00:00,25,19.0,1.0,-9999.0,1.0,-9999.0,1.0,48.9103,3.1,28.9569,3.1,77.8673,3.1,6.3,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,42.6,1.0,68.27,1.0,639.0,1.0,0.0,1.0,0.0,1.0,20.9,1.0,1.11,1.0
2019-10-01 21:00:00,25,6.0,2.1,-9999.0,1.0,-9999.0,1.0,31.4798,3.1,26.5081,3.1,57.9878,3.1,6.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,46.7,1.0,66.21,1.0,639.5,1.0,0.0,1.0,0.0,1.0,21.2,1.0,1.5,1.0
